depth,wavelength,luz
3.6,683,8.122283170299407e-6
3.6500000000000004,443,8.601945885518764e-4
3.6500000000000004,510,9.81038247570666e-4
3.6500000000000004,683,8.061431722272062e-6
3.7,443,8.564063097335747e-4
3.7,510,9.778859146083348e-4
3.7,683,8.000697953937217e-6
3.75,443,8.526459373537783e-4
3.75,510,9.747601779878318e-4
3.75,683,7.939386425249881e-6
3.8,443,8.489152197203465e-4
3.8,510,9.716526469116129e-4
3.8,683,7.876410895440284e-6
3.85,443,8.452096900100489e-4
3.85,510,9.685674937350416e-4
3.85,683,7.81084407121084e-6
3.9000000000000004,443,8.415243772310727e-4
3.9000000000000004,510,9.655007483902129e-4
3.9000000000000004,683,7.742963321161406e-6
3.95,443,8.378606056658787e-4
3.95,510,9.624539813945167e-4
3.95,683,7.672541162874353e-6
4,443,8.342122538521414e-4
4,510,9.594282945136277e-4
4,683,7.601549065319402e-6
4.050000000000001,443,8.305800977994767e-4
4.050000000000001,510,9.56425973530592e-4
4.050000000000001,683,7.528697101405997e-6
4.1,443,8.269665492115908e-4
4.1,510,9.534418424105721e-4
4.1,683,7.461179143934943e-6
4.15,443,8.233746170054173e-4
4.15,510,9.504775541703119e-4
4.15,683,7.400652889074937e-6
4.2,443,8.198073189461094e-4
4.2,510,9.475334107263807e-4
4.2,683,7.354476041027286e-6
4.25,443,8.162630855267905e-4
4.25,510,9.446137895778297e-4
4.25,683,7.328247998341058e-6
4.300000000000001,443,8.127470182599664e-4
4.300000000000001,510,9.417082434385698e-4
4.300000000000001,683,7.331075688264621e-6
4.35,443,8.092673784666422e-4
4.35,510,9.388268654597819e-4
4.35,683,7.357269701632145e-6
4.4,443,8.058143477703202e-4
4.4,510,9.359751742970971e-4
4.4,683,7.394105859860526e-6
4.45,443,8.023930940431977e-4
4.45,510,9.331404000019194e-4
4.45,683,7.436506017660561e-6
4.5,443,7.990121903986965e-4
4.5,510,9.303185405617803e-4
4.5,683,7.477646118679293e-6
4.550000000000001,443,7.956642528196034e-4
4.550000000000001,510,9.275146441570423e-4
4.550000000000001,683,7.515186389766928e-6
4.6,443,7.923541904937838e-4
4.6,510,9.247176199394194e-4
4.6,683,7.54952453297318e-6
4.65,443,7.890812343096291e-4
4.65,510,9.219327904268372e-4
4.65,683,7.57885345197552e-6
4.7,443,7.858469294740468e-4
4.7,510,9.191616254961071e-4
4.7,683,7.602805416959465e-6
4.75,443,7.826519195470268e-4
4.75,510,9.164053277773866e-4
